"TestID","FlowID","StepIndex","Priority","Category","Subcategory","EntryPoint","MenuPath","ControlOrButton","ScenarioType","SetupProfile","Preconditions","ActionSteps","ExpectedUIResult","ExpectedGameplayResult","ExpectedFinanceOrStateChange","ExpectedPersistenceResult","ExpectedNotificationOrFeedback","ExpectedSuccessOrProgress","NegativeOrEdgeCondition","PassCriteria","DebugOnly"
"LSOL-0093","SUC-APP","1","P1","Successes","App Root And Progress Display","F8","F8 > Successes","Successes tile; Back","UI","LateGameEmpire","At least one success is locked and one is unlocked, or a fresh save is available for an all-locked baseline.","Open Successes; inspect Progress, icons, progress bars, row detail text, and Back behavior.","Successes shows Progress, unlocked count, LOCK or DONE row icons, unlocked detail text, and Progress: text on locked rows.","No gameplay change.","No finance change.","Unlocked and in-progress success states persist after save/load.","Successes page opens and Back returns to the company hub.","The Progress row count matches the tracker total and unlocked total.","","Pass if the Successes app renders current locked or unlocked state and progress text correctly.","No"
"LSOL-0094","SUC-01","1","P1","Successes","First Paycheck","Gameplay","Success tracker","Earn money","Gameplay","SuccessNearUnlock","Company balance history is below $10,000 on the test profile.","Earn enough money to push HighestCompanyBalanceEver to at least $10,000.","Successes row for First Paycheck changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","HighestCompanyBalanceEver crosses $10,000.","Unlocked state persists after save/load.","Success unlocked: First Paycheck.","First Paycheck unlocks.","","Pass if the success unlocks exactly when the $10,000 threshold is crossed.","No"
"LSOL-0095","SUC-02","1","P1","Successes","Small Operator","Gameplay","Success tracker","Earn money","Gameplay","SuccessNearUnlock","HighestCompanyBalanceEver is below $100,000 on the test profile.","Earn enough money to push HighestCompanyBalanceEver to at least $100,000.","Successes row for Small Operator changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","HighestCompanyBalanceEver crosses $100,000.","Unlocked state persists after save/load.","Success unlocked: Small Operator.","Small Operator unlocks.","","Pass if the success unlocks exactly when the $100,000 threshold is crossed.","No"
"LSOL-0096","SUC-03","1","P1","Successes","Millionaire Hauler","Gameplay","Success tracker","Earn money","Gameplay","SuccessNearUnlock","HighestCompanyBalanceEver is below $1,000,000 on the test profile.","Earn enough money to push HighestCompanyBalanceEver to at least $1,000,000.","Successes row for Millionaire Hauler changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","HighestCompanyBalanceEver crosses $1,000,000.","Unlocked state persists after save/load.","Success unlocked: Millionaire Hauler.","Millionaire Hauler unlocks.","","Pass if the success unlocks exactly when the $1,000,000 threshold is crossed.","No"
"LSOL-0097","SUC-04","1","P1","Successes","Logistics Tycoon","Gameplay","Success tracker","Earn money","Gameplay","SuccessNearUnlock","HighestCompanyBalanceEver is below $10,000,000 on the test profile.","Earn enough money to push HighestCompanyBalanceEver to at least $10,000,000.","Successes row for Logistics Tycoon changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","HighestCompanyBalanceEver crosses $10,000,000.","Unlocked state persists after save/load.","Success unlocked: Logistics Tycoon.","Logistics Tycoon unlocks.","","Pass if the success unlocks exactly when the $10,000,000 threshold is crossed.","No"
"LSOL-0098","SUC-05","1","P1","Successes","MultiMillion Company","Gameplay","Success tracker","Earn money","Gameplay","SuccessNearUnlock","HighestCompanyBalanceEver is below $100,000,000 on the test profile.","Earn enough money to push HighestCompanyBalanceEver to at least $100,000,000.","Successes row for MultiMillion Company changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","HighestCompanyBalanceEver crosses $100,000,000.","Unlocked state persists after save/load.","Success unlocked: MultiMillion Company.","MultiMillion Company unlocks.","","Pass if the success unlocks exactly when the $100,000,000 threshold is crossed.","No"
"LSOL-0099","SUC-06","1","P1","Successes","Self-Made","Gameplay","Success tracker","Earn money before first NPC hire","Gameplay","SuccessNearUnlock","HasEverHiredNpc is false and HighestCompanyBalanceBeforeFirstNpcHire is below $1,000,000.","Earn enough money to push HighestCompanyBalanceBeforeFirstNpcHire to at least $1,000,000 before ever hiring an NPC.","Successes row for Self-Made changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","HighestCompanyBalanceBeforeFirstNpcHire crosses $1,000,000.","Unlocked state persists after save/load.","Success unlocked: Self-Made.","Self-Made unlocks.","","Pass if the success unlocks only when the $1,000,000 pre-NPC threshold is met before any NPC hire.","No"
"LSOL-0100","SUC-07","1","P1","Successes","First Delivery","Gameplay","Success tracker","Complete delivery","Gameplay","SuccessNearUnlock","TotalSuccessfulDeliveries is 0 on the test profile.","Complete one successful delivery.","Successes row for First Delivery changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","TotalSuccessfulDeliveries becomes 1.","Unlocked state persists after save/load.","Success unlocked: First Delivery.","First Delivery unlocks.","","Pass if the success unlocks on the first successful delivery.","No"
"LSOL-0101","SUC-08","1","P1","Successes","Road Veteran","Gameplay","Success tracker","Complete deliveries","Gameplay","SuccessNearUnlock","TotalSuccessfulDeliveries is below 100 on the test profile.","Complete enough successful deliveries to reach 100 total.","Successes row for Road Veteran changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","TotalSuccessfulDeliveries reaches 100.","Unlocked state persists after save/load.","Success unlocked: Road Veteran.","Road Veteran unlocks.","","Pass if the success unlocks exactly at 100 successful deliveries.","No"
"LSOL-0102","SUC-09","1","P1","Successes","Road Legend","Gameplay","Success tracker","Complete deliveries","Gameplay","SuccessNearUnlock","TotalSuccessfulDeliveries is below 1,000 on the test profile.","Complete enough successful deliveries to reach 1,000 total.","Successes row for Road Legend changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","TotalSuccessfulDeliveries reaches 1,000.","Unlocked state persists after save/load.","Success unlocked: Road Legend.","Road Legend unlocks.","","Pass if the success unlocks exactly at 1,000 successful deliveries.","No"
"LSOL-0103","SUC-10","1","P1","Successes","Endless Freight","Gameplay","Success tracker","Complete deliveries","Gameplay","SuccessNearUnlock","TotalSuccessfulDeliveries is below 10,000 on the test profile.","Complete enough successful deliveries to reach 10,000 total.","Successes row for Endless Freight changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","TotalSuccessfulDeliveries reaches 10,000.","Unlocked state persists after save/load.","Success unlocked: Endless Freight.","Endless Freight unlocks.","","Pass if the success unlocks exactly at 10,000 successful deliveries.","No"
"LSOL-0104","SUC-11","1","P1","Successes","Heavy Hauler","Gameplay","Success tracker","Transport tons","Gameplay","SuccessNearUnlock","TotalTransportedTons is below 100t on the test profile.","Deliver enough cargo to push TotalTransportedTons to at least 100t.","Successes row for Heavy Hauler changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","TotalTransportedTons reaches 100t.","Unlocked state persists after save/load.","Success unlocked: Heavy Hauler.","Heavy Hauler unlocks.","","Pass if the success unlocks exactly at 100t transported.","No"
"LSOL-0105","SUC-12","1","P1","Successes","Industrial Backbone","Gameplay","Success tracker","Transport tons","Gameplay","SuccessNearUnlock","TotalTransportedTons is below 1,000t on the test profile.","Deliver enough cargo to push TotalTransportedTons to at least 1,000t.","Successes row for Industrial Backbone changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","TotalTransportedTons reaches 1,000t.","Unlocked state persists after save/load.","Success unlocked: Industrial Backbone.","Industrial Backbone unlocks.","","Pass if the success unlocks exactly at 1,000t transported.","No"
"LSOL-0106","SUC-13","1","P1","Successes","Supply Chain King","Gameplay","Success tracker","Transport tons","Gameplay","SuccessNearUnlock","TotalTransportedTons is below 10,000t on the test profile.","Deliver enough cargo to push TotalTransportedTons to at least 10,000t.","Successes row for Supply Chain King changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","TotalTransportedTons reaches 10,000t.","Unlocked state persists after save/load.","Success unlocked: Supply Chain King.","Supply Chain King unlocks.","","Pass if the success unlocks exactly at 10,000t transported.","No"
"LSOL-0107","SUC-14","1","P1","Successes","First Office","Gameplay","Success tracker","Gain office access","Gameplay","OfficeOwner","No office is owned or rented on the test profile.","Rent or purchase the first office.","Successes row for First Office changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Office-access count becomes at least 1.","Unlocked state persists after save/load.","Success unlocked: First Office.","First Office unlocks.","","Pass if the success unlocks when the first office becomes accessible.","No"
"LSOL-0108","SUC-15","1","P1","Successes","Company Footprint","Gameplay","Success tracker","Own an office","Gameplay","OfficeOwner","No office is owned on the test profile.","Purchase the first office rather than only renting it.","Successes row for Company Footprint changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Owned-office count becomes at least 1.","Unlocked state persists after save/load.","Success unlocked: Company Footprint.","Company Footprint unlocks.","","Pass if the success unlocks when the first office is owned, not just rented.","No"
"LSOL-0109","SUC-16","1","P1","Successes","Empire","Gameplay","Success tracker","Own the port office","Gameplay","LateGameEmpire","The port office is not yet owned on the test profile.","Purchase the office whose ID is the tracked port office.","Successes row for Empire changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Port-office ownership becomes true.","Unlocked state persists after save/load.","Success unlocked: Empire.","Empire unlocks.","","Pass if the success unlocks only when the tracked port office is owned.","No"
"LSOL-0110","SUC-17","1","P1","Successes","Home Base","Gameplay","Success tracker","Gain apartment access","Gameplay","ApartmentOwner","No apartment is owned on the test profile.","Purchase the first apartment.","Successes row for Home Base changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Apartment-access count becomes at least 1.","Unlocked state persists after save/load.","Success unlocked: Home Base.","Home Base unlocks.","","Pass if the success unlocks when the first apartment becomes accessible.","No"
"LSOL-0111","SUC-18","1","P1","Successes","Fleet Owner","Gameplay","Success tracker","Own first commercial vehicle","Gameplay","FleetOwner","No owned commercial vehicle exists on the test profile.","Purchase the first company commercial vehicle.","Successes row for Fleet Owner changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Owned-commercial-vehicle count becomes at least 1.","Unlocked state persists after save/load.","Success unlocked: Fleet Owner.","Fleet Owner unlocks.","","Pass if the success unlocks on the first owned commercial vehicle.","No"
"LSOL-0112","SUC-19","1","P1","Successes","Full Garage","Gameplay","Success tracker","Fill an office garage","Gameplay","LateGameEmpire","At least one owned office exists with finite garage capacity and the garage is not yet full.","Acquire and assign enough owned vehicles to fill an office garage to its capacity.","Successes row for Full Garage changes from LOCK to DONE and its progress text reflects garage slots filled before unlock.","No special gameplay effect beyond the unlock.","Best owned garage fill state reaches current capacity.","Unlocked state persists after save/load.","Success unlocked: Full Garage.","Full Garage unlocks.","","Pass if the success unlocks when an owned office garage reaches full capacity.","No"
"LSOL-0113","SUC-20","1","P1","Successes","Company Fleet","Gameplay","Success tracker","Own 10 commercial vehicles","Gameplay","LateGameEmpire","Owned-commercial-vehicle count is below 10 on the test profile.","Purchase owned commercial vehicles until the company owns 10.","Successes row for Company Fleet changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Owned-commercial-vehicle count reaches 10.","Unlocked state persists after save/load.","Success unlocked: Company Fleet.","Company Fleet unlocks.","","Pass if the success unlocks exactly when 10 owned commercial vehicles exist.","No"
"LSOL-0114","SUC-21","1","P1","Successes","Mechanized Empire","Gameplay","Success tracker","Own diversified fleet roles","Gameplay","LateGameEmpire","Distinct owned fleet roles are below 4 on the test profile.","Purchase owned commercial vehicles covering enough different cargo roles to reach the tracked threshold.","Successes row for Mechanized Empire changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Distinct owned fleet roles reaches the tracked threshold of 4.","Unlocked state persists after save/load.","Success unlocked: Mechanized Empire.","Mechanized Empire unlocks.","","Pass if the success unlocks when the owned fleet covers the required number of cargo roles.","No"
"LSOL-0115","SUC-22","1","P1","Successes","First Employee","Gameplay","Success tracker","Hire first NPC","Gameplay","NpcCompany","HasEverHiredNpc is false on the test profile.","Hire the first NPC driver contract.","Successes row for First Employee changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","HasEverHiredNpc becomes true.","Unlocked state persists after save/load.","Success unlocked: First Employee.","First Employee unlocks.","","Pass if the success unlocks on the first NPC hire.","No"
"LSOL-0116","SUC-23","1","P1","Successes","Dispatcher","Gameplay","Success tracker","Have 5 active NPCs","Gameplay","LateGameEmpire","Current NPC driver count is below 5 on the test profile.","Create enough NPC contracts to reach 5 active NPCs.","Successes row for Dispatcher changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Current NPC driver count reaches 5.","Unlocked state persists after save/load.","Success unlocked: Dispatcher.","Dispatcher unlocks.","","Pass if the success unlocks exactly when 5 active NPCs exist.","No"
"LSOL-0117","SUC-24","1","P1","Successes","Logistics Manager","Gameplay","Success tracker","Have multiple active routes","Gameplay","NpcCompany","Current NPC route count is below 3 on the test profile.","Create or modify NPC contracts until at least 3 active routes exist simultaneously.","Successes row for Logistics Manager changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Current NPC route count reaches 3.","Unlocked state persists after save/load.","Success unlocked: Logistics Manager.","Logistics Manager unlocks.","","Pass if the success unlocks exactly when the active route threshold is reached.","No"
"LSOL-0118","SUC-25","1","P1","Successes","Hands-Off Income","Gameplay","Success tracker","Earn NPC-only income","Gameplay","NpcCompany","CumulativeNpcDeliveryIncome is below $1,000,000 on the test profile.","Allow NPC deliveries to continue until cumulative NPC delivery income reaches $1,000,000.","Successes row for Hands-Off Income changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","CumulativeNpcDeliveryIncome reaches $1,000,000.","Unlocked state persists after save/load.","Success unlocked: Hands-Off Income.","Hands-Off Income unlocks.","","Pass if the success unlocks exactly when NPC-only delivery income reaches the tracked threshold.","No"
"LSOL-0119","SUC-26","1","P1","Successes","Entrepreneur","Gameplay","Success tracker","Own first industry","Gameplay","IndustryOwner","Owned actual-industry count is 0 on the test profile.","Purchase the first actual industry.","Successes row for Entrepreneur changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Owned actual-industry count becomes at least 1.","Unlocked state persists after save/load.","Success unlocked: Entrepreneur.","Entrepreneur unlocks.","","Pass if the success unlocks on the first actual industry ownership.","No"
"LSOL-0120","SUC-27","1","P1","Successes","Industrialist","Gameplay","Success tracker","Own 5 industries","Gameplay","LateGameEmpire","Owned actual-industry count is below 5 on the test profile.","Purchase actual industries until the owned count reaches 5.","Successes row for Industrialist changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Owned actual-industry count reaches 5.","Unlocked state persists after save/load.","Success unlocked: Industrialist.","Industrialist unlocks.","","Pass if the success unlocks exactly when 5 actual industries are owned.","No"
"LSOL-0121","SUC-28","1","P1","Successes","Established Industrialist","Gameplay","Success tracker","Own 15 industries","Gameplay","LateGameEmpire","Owned actual-industry count is below 15 on the test profile.","Purchase actual industries until the owned count reaches 15.","Successes row for Established Industrialist changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Owned actual-industry count reaches 15.","Unlocked state persists after save/load.","Success unlocked: Established Industrialist.","Established Industrialist unlocks.","","Pass if the success unlocks exactly when 15 actual industries are owned.","No"
"LSOL-0122","SUC-29","1","P1","Successes","Industrial Master","Gameplay","Success tracker","Own all purchasable industries","Gameplay","LateGameEmpire","Not all purchasable actual industries are owned on the test profile.","Purchase every remaining purchasable actual industry.","Successes row for Industrial Master changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Owned actual-industry count equals total purchasable actual-industry count.","Unlocked state persists after save/load.","Success unlocked: Industrial Master.","Industrial Master unlocks.","","Pass if the success unlocks only when every purchasable actual industry is owned.","No"
"LSOL-0123","SUC-30","1","P1","Successes","Vertical Integration","Gameplay","Success tracker","Own producer and consumer in same chain","Gameplay","LateGameEmpire","No owned producer-consumer match exists on the test profile.","Purchase or keep ownership of one producer and one consumer in the same supply chain.","Successes row for Vertical Integration changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","HasOwnedProducerConsumerMatch becomes true.","Unlocked state persists after save/load.","Success unlocked: Vertical Integration.","Vertical Integration unlocks.","","Pass if the success unlocks when the owned site chain satisfies the producer-consumer match rule.","No"
"LSOL-0124","SUC-31","1","P1","Successes","Supply Network","Gameplay","Success tracker","Own industries in 3 districts","Gameplay","LateGameEmpire","Owned-industry district count is below 3 on the test profile.","Purchase industries in additional districts until ownership spans 3 districts.","Successes row for Supply Network changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Owned-industry district count reaches 3.","Unlocked state persists after save/load.","Success unlocked: Supply Network.","Supply Network unlocks.","","Pass if the success unlocks exactly when owned-industry coverage reaches 3 districts.","No"
"LSOL-0125","SUC-32","1","P1","Successes","Warehouse Master","Gameplay","Success tracker","Buy first warehouse","Gameplay","LateGameEmpire","Owned warehouse count is 0 on the test profile.","Purchase the first warehouse storage site.","Successes row for Warehouse Master changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Owned warehouse count becomes at least 1.","Unlocked state persists after save/load.","Success unlocked: Warehouse Master.","Warehouse Master unlocks.","","Pass if the success unlocks on first warehouse ownership.","No"
"LSOL-0126","SUC-33","1","P1","Successes","Fuel Baron","Gameplay","Success tracker","Buy first gas station","Gameplay","LateGameEmpire","Owned gas-station count is 0 on the test profile.","Purchase the first gas station.","Successes row for Fuel Baron changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Owned gas-station count becomes at least 1.","Unlocked state persists after save/load.","Success unlocked: Fuel Baron.","Fuel Baron unlocks.","","Pass if the success unlocks on first gas-station ownership.","No"
"LSOL-0127","SUC-34","1","P1","Successes","Port Authority","Gameplay","Success tracker","Buy Port Terminal","Gameplay","LateGameEmpire","Port Terminal is not owned on the test profile.","Purchase the Port Terminal site.","Successes row for Port Authority changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","OwnsPortTerminal becomes true.","Unlocked state persists after save/load.","Success unlocked: Port Authority.","Port Authority unlocks.","","Pass if the success unlocks only when Port Terminal is owned.","No"
"LSOL-0128","SUC-35","1","P1","Successes","Clean Run","Gameplay","Success tracker","Complete clean delivery","Gameplay","SuccessNearUnlock","TotalSuccessfulCleanDeliveries is 0 on the test profile.","Complete one successful delivery without cargo damage.","Successes row for Clean Run changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","TotalSuccessfulCleanDeliveries becomes 1.","Unlocked state persists after save/load.","Success unlocked: Clean Run.","Clean Run unlocks.","","Pass if the success unlocks on the first clean delivery.","No"
"LSOL-0129","SUC-36","1","P1","Successes","Perfectionist","Gameplay","Success tracker","Complete 25 clean deliveries","Gameplay","SuccessNearUnlock","TotalSuccessfulCleanDeliveries is below 25 on the test profile.","Complete enough successful no-damage deliveries to reach 25 clean deliveries.","Successes row for Perfectionist changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","TotalSuccessfulCleanDeliveries reaches 25.","Unlocked state persists after save/load.","Success unlocked: Perfectionist.","Perfectionist unlocks.","","Pass if the success unlocks exactly at 25 clean deliveries.","No"
"LSOL-0130","SUC-37","1","P1","Successes","Emergency Services","Gameplay","Success tracker","Use services 15 times","Gameplay","SuccessNearUnlock","TotalEmergencyServiceUsages is below 15 on the test profile.","Use valid recovery, refuel, or service systems until the tracker reaches 15 uses.","Successes row for Emergency Services changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","TotalEmergencyServiceUsages reaches 15.","Unlocked state persists after save/load.","Success unlocked: Emergency Services.","Emergency Services unlocks.","","Pass if the success unlocks exactly at 15 tracked emergency-service uses.","No"
"LSOL-0131","SUC-38","1","P1","Successes","Special Contractor","Gameplay","Success tracker","Complete first special mission","Gameplay","MissionReady","TotalSpecialMissionsCompleted is 0 on the test profile.","Complete one special mission successfully.","Successes row for Special Contractor changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","TotalSpecialMissionsCompleted becomes 1.","Unlocked state persists after save/load.","Success unlocked: Special Contractor.","Special Contractor unlocks.","","Pass if the success unlocks on the first completed special mission.","No"
"LSOL-0132","SUC-39","1","P1","Successes","Regular Contractor","Gameplay","Success tracker","Complete 10 special missions","Gameplay","MissionReady","TotalSpecialMissionsCompleted is below 10 on the test profile.","Complete enough special missions to reach 10 total completions.","Successes row for Regular Contractor changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","TotalSpecialMissionsCompleted reaches 10.","Unlocked state persists after save/load.","Success unlocked: Regular Contractor.","Regular Contractor unlocks.","","Pass if the success unlocks exactly at 10 completed special missions.","No"
"LSOL-0133","SUC-40","1","P1","Successes","Expert Contractor","Gameplay","Success tracker","Complete 50 special missions","Gameplay","MissionReady","TotalSpecialMissionsCompleted is below 50 on the test profile.","Complete enough special missions to reach 50 total completions.","Successes row for Expert Contractor changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","TotalSpecialMissionsCompleted reaches 50.","Unlocked state persists after save/load.","Success unlocked: Expert Contractor.","Expert Contractor unlocks.","","Pass if the success unlocks exactly at 50 completed special missions.","No"
"LSOL-0134","SUC-41","1","P1","Successes","Reputation Built","Gameplay","Success tracker","Reach 250 reputation in one district","Gameplay","LateGameEmpire","Best district reputation score is below 250 on the test profile.","Perform deliveries or use prepared progression to raise one district reputation score to at least 250.","Successes row for Reputation Built changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Best district reputation score reaches 250.","Unlocked state persists after save/load.","Success unlocked: Reputation Built.","Reputation Built unlocks.","","Pass if the success unlocks exactly when one district reaches 250 reputation.","No"
"LSOL-0135","SUC-42","1","P1","Successes","Statewide Operator","Gameplay","Success tracker","Reach 100 reputation in 3 districts","Gameplay","LateGameEmpire","District-count-at-100-reputation is below 3 on the test profile.","Raise district reputation until at least 3 districts are at or above 100 reputation.","Successes row for Statewide Operator changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","District count at 100 reputation reaches 3.","Unlocked state persists after save/load.","Success unlocked: Statewide Operator.","Statewide Operator unlocks.","","Pass if the success unlocks exactly when 3 districts reach the tracked 100-reputation threshold.","No"
"LSOL-0136","SUC-43","1","P1","Successes","Worldwide Operator","Gameplay","Success tracker","Reach dominant reputation in all districts","Gameplay","LateGameEmpire","Not all districts are dominant on the test profile.","Raise district progression until every configured district reaches dominant reputation status.","Successes row for Worldwide Operator changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Dominant district count equals total district count.","Unlocked state persists after save/load.","Success unlocked: Worldwide Operator.","Worldwide Operator unlocks.","","Pass if the success unlocks only when all districts are dominant.","No"
"LSOL-0137","SUC-44","1","P1","Successes","Solo Grinder","Gameplay","Success tracker","Complete 100 deliveries before hiring any NPC","Gameplay","SuccessNearUnlock","HasEverHiredNpc is false and DeliveriesBeforeFirstNpcHire is below 100 on the test profile.","Complete enough successful deliveries before ever hiring an NPC to reach 100 deliveries before first NPC.","Successes row for Solo Grinder changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","DeliveriesBeforeFirstNpcHire reaches 100 while HasEverHiredNpc remains false.","Unlocked state persists after save/load.","Success unlocked: Solo Grinder.","Solo Grinder unlocks.","","Pass if the success unlocks only when the 100-delivery threshold is met before any NPC hire occurs.","No"
"LSOL-0138","SUC-45","1","P1","Successes","No Debt Needed","Gameplay","Success tracker","Reach $1,000,000 before first loan","Gameplay","SuccessNearUnlock","HasEverTakenLoan is false and HighestCompanyBalanceBeforeFirstLoan is below $1,000,000 on the test profile.","Earn enough money to push HighestCompanyBalanceBeforeFirstLoan to at least $1,000,000 before ever taking a loan.","Successes row for No Debt Needed changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","HighestCompanyBalanceBeforeFirstLoan reaches $1,000,000 while HasEverTakenLoan remains false.","Unlocked state persists after save/load.","Success unlocked: No Debt Needed.","No Debt Needed unlocks.","","Pass if the success unlocks only when the million-dollar balance is reached before any loan disbursement occurs.","No"
"LSOL-0139","SUC-46","1","P1","Successes","Freight Specialist","Gameplay","Success tracker","Deliver 500t of one commodity","Gameplay","SuccessNearUnlock","Best single-commodity tonnage is below 500t on the test profile.","Deliver enough of one specific commodity type to push its tracked tonnage to at least 500t.","Successes row for Freight Specialist changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Best commodity tonnage reaches 500t.","Unlocked state persists after save/load.","Success unlocked: Freight Specialist.","Freight Specialist unlocks.","","Pass if the success unlocks when one tracked commodity reaches the required tonnage.","No"
"LSOL-0140","SUC-47","1","P1","Successes","Diversified Carrier","Gameplay","Success tracker","Deliver 10 distinct resource types","Gameplay","SuccessNearUnlock","Distinct delivered commodity count is below 10 on the test profile.","Complete successful deliveries across enough different resource types to reach 10 distinct commodities.","Successes row for Diversified Carrier changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Distinct delivered commodity count reaches 10.","Unlocked state persists after save/load.","Success unlocked: Diversified Carrier.","Diversified Carrier unlocks.","","Pass if the success unlocks exactly when the 10-resource diversity threshold is reached.","No"
"LSOL-0141","SUC-48","1","P1","Successes","LSOL Founder","Gameplay","Success tracker","Own office, apartment, industry, warehouse, and fleet together","Gameplay","LateGameEmpire","Founder requirement count is below 5 on the test profile.","Reach a state where the company simultaneously has an office, apartment, at least one industry, a warehouse, and a working fleet.","Successes row for LSOL Founder changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Founder requirement count reaches 5.","Unlocked state persists after save/load.","Success unlocked: LSOL Founder.","LSOL Founder unlocks.","","Pass if the success unlocks only when all founder requirements are true at the same time.","No"
"LSOL-0142","SUC-49","1","P1","Successes","Megalomaniac","Gameplay","Success tracker","Unlock four prerequisite successes","Gameplay","LateGameEmpire","At least one of Endless Freight, Self-Made, Worldwide Operator, or Industrial Master is still locked.","Unlock the remaining prerequisite successes until all four are unlocked.","Successes row for Megalomaniac changes from LOCK to DONE.","No special gameplay effect beyond the unlock.","Megalomaniac requirement count reaches 4 unlocked prerequisite successes.","Unlocked state persists after save/load.","Success unlocked: Megalomaniac.","Megalomaniac unlocks.","","Pass if the success unlocks only after all four prerequisite successes are already unlocked.","No"
"LSOL-0143","EDGE-01","1","P2","World Interaction","Out Of Range And Signal Loss","Industry Marker","World > Industry Marker or Industry App","E; Back","Negative","FreshCareer","A site can be approached and then left before interaction or while its tablet is open.","Stand just outside an industry marker and press E; then open a valid industry tablet in range and walk or drive out of range until the signal is lost.","Out of range, no in-range prompt appears and E does not open the tablet; after leaving range from an open tablet, Site / Signal unavailable / Industry Signal Lost appears.","No unintended load or unload action occurs while out of range.","No finance change.","No out-of-range interaction state is saved.","No industry marker in range. or Industry Signal Lost state appears according to path.","No success progress should change from failed or blocked interaction.","Out-of-range interaction must not open stale site data or perform cargo actions.","Pass if industry interaction is correctly gated by range and signal-loss handling.","No"
"LSOL-0144","EDGE-02","1","P2","Gameplay Gates","Permit And Ownership Blocks","Industry or Network","Network > Contractor Permit or Industry page","Purchase Permit; Buy Industry; Load Product; Unload Cargo","Negative","PermitLocked","Licensing system is On and the targeted site still requires its permit or purchase.","Attempt to haul to or from a permit-locked site without buying its permit; attempt purchase on insufficient funds; attempt industry actions on a site still requiring purchase.","Permit or purchase rows remain visible and blocked detail stays on screen instead of silently allowing the action.","No blocked cargo flow or ownership change completes.","No money is charged on blocked actions.","Blocked state persists after save/load until the player actually purchases the permit or site.","Current permit or purchase blocker text remains visible and the action does not complete.","No success progress should advance from blocked site access.","Permit or purchase-gated actions must not bypass current ownership or licensing rules.","Pass if locked or unaffordable site actions fail safely without changing state.","No"
"LSOL-0145","EDGE-03","1","P2","Gameplay Gates","Wrong Cargo And Wrong Destination","Industry Marker","Industry > Unload Cargo or Unload Mode","Unload Truck Cargo; Unload Omega Only","Negative","PermitLocked","Player has cargo that does not match the site or unload mode.","Attempt to unload the wrong commodity at a site that does not accept it; attempt Unload Omega Only when the active tanker does not carry Omega.","Industry pages remain open and no success state is shown for the blocked unload.","No cargo transfer occurs when the destination or mode is invalid.","No delivery payout occurs on blocked unload.","Unchanged cargo state persists after save/load.","Current unload blocker message appears according to the invalid cargo or Omega state.","No delivery or success progress should advance on blocked unload.","Wrong commodity or wrong unload-mode handling must not partially transfer cargo.","Pass if invalid unload attempts leave cargo and site storage unchanged.","No"
